"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2024-12-19T13:44:28.000Z","BUY",0.867747,"REP.MC (Repsol SA)","STOCK",9.60595929,"EUR","Bolsa de Madrid",,,-0.34,"USD","eToro",,false,
"2024-12-20T18:34:57.000Z","BUY",0.450501,"TSLA (Tesla Inc)","STOCK",199.99991895,"USD","Nasdaq",,,,,"eToro",,false,
"2024-12-20T18:35:12.000Z","BUY",0.45499,"MSFT (Microsoft Corp)","STOCK",199.999999799,"USD","Nasdaq",,,-0.64,"USD","eToro",,false,
"2024-12-20T18:35:25.000Z","BUY",1.49555,"NVDA (NVIDIA Corp)","STOCK",199.9999015,"USD","Nasdaq",,,-0.03,"USD","eToro",,false,
"2024-12-20T18:35:34.000Z","BUY",0.283173,"MA (Mastercard Inc)","STOCK",149.99956983,"USD","New York Stock Exchange",,,-0.36,"USD","eToro",,false,
"2024-12-20T18:35:46.000Z","BUY",0.884173,"PG (Procter & Gamble Co/The)","STOCK",149.99994945,"USD","New York Stock Exchange",,,-1.55,"USD","eToro",,false,
"2024-12-20T18:35:58.000Z","BUY",0.395194,"AAPL (Apple Inc)","STOCK",99.99988976,"USD","Nasdaq",,,-0.17,"USD","eToro",,false,
"2024-12-20T18:36:41.000Z","BUY",0.03208,"TSLA (Tesla Inc)","STOCK",14.2598808,"USD","Nasdaq",,,,,"eToro",,false,
"2024-12-30T18:08:16.000Z","BUY",0.178248,"TSLA (Tesla Inc)","STOCK",74.99962848,"USD","Nasdaq",,,,,"eToro",,false,
"2024-12-30T18:08:39.000Z","BUY",0.197597,"AAPL (Apple Inc)","STOCK",49.99994488,"USD","Nasdaq",,,-0.08,"USD","eToro",,false,
"2024-12-30T18:09:00.000Z","BUY",0.175862,"MSFT (Microsoft Corp)","STOCK",74.99986714,"USD","Nasdaq",,,-0.24,"USD","eToro",,false,
"2024-12-30T18:09:16.000Z","BUY",0.537056,"NVDA (NVIDIA Corp)","STOCK",74.9998704,"USD","Nasdaq",,,,,"eToro",,false,
"2024-12-30T18:09:30.000Z","BUY",0.094806,"MA (Mastercard Inc)","STOCK",49.99973634,"USD","New York Stock Exchange",,,-0.12,"USD","eToro",,false,
"2024-12-30T18:09:42.000Z","BUY",0.297814,"PG (Procter & Gamble Co/The)","STOCK",49.99999246,"USD","New York Stock Exchange",,,-0.52,"USD","eToro",,false,
"2024-12-30T18:09:59.000Z","BUY",0.404989,"TTWO (Take-Two Interactive Software Inc)","STOCK",74.99991291,"USD","Nasdaq",,,,,"eToro",,false,
"2024-12-30T18:10:10.000Z","BUY",0.405087,"AMD (Advanced Micro Devices Inc)","STOCK",49.99988841,"USD","Nasdaq",,,,,"eToro",,false,
"2025-01-08T14:30:42.000Z","BUY",22.541125,"NOK (Nokia Oyj)","STOCK",104.1399975,"USD","New York Stock Exchange",,,,,"eToro",,false,
"2025-01-21T15:58:20.000Z","SELL",0.867747,"REP.MC (Repsol SA)","STOCK",9.85760592,"EUR","Bolsa de Madrid",,,,,"eToro",,false,
"2025-01-23T14:55:22.000Z","SELL",22.541125,"NOK (Nokia Oyj)","STOCK",105.26705375,"USD","New York Stock Exchange",,,,,"eToro",,false,
"2025-01-24T14:42:03.000Z","BUY",22.437375,"PL (Planet Labs PBC)","STOCK",112.85999625,"USD","New York Stock Exchange",,,,,"eToro",,false,
